"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1,C3","2","0.1uF","","","","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm",""
"C2","1","0.33uF","","","","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm",""
"C4,C5","2","22pF","","","","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm",""
"C6","1","100nF","","","","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm",""
"C7,C9","2","1uF","","","","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm",""
"C8","1","4.7uF","","","","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm",""
"DS1","1","WC1602A","","","","Display:WC1602A","http://www.wincomlcd.com/pdf/WC1602A-SFYLYHTC06.pdf"
"J1","1","AudioJack2","","","","Connector_Audio:Jack_3.5mm_PJ320E_Horizontal",""
"J2","1","Jack-DC","","","","Connector_BarrelJack:BarrelJack_Horizontal",""
"J3","1","ICSP","","","","Connector_PinHeader_2.54mm:PinHeader_2x03_P2.54mm_Vertical",""
"J4","1","Conn_01x04_Socket","","","","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical",""
"J5,J6","2","Conn_01x10_Pin","","","","Connector_PinHeader_2.54mm:PinHeader_1x10_P2.54mm_Vertical",""
"L1","1","Yellow","","","","LED_THT:LED_D3.0mm",""
"PWR1","1","Green","","","","LED_THT:LED_D3.0mm",""
"R1,R3,R5,R7","4","1k","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"R2,R4,R6,R8,R9","5","10k","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"SW1","1","RESET","","","","Button_Switch_THT:SW_PUSH_6mm",""
"SW2","1","REV","","","","Button_Switch_THT:SW_PUSH_6mm",""
"SW3","1","FWD","","","","Button_Switch_THT:SW_PUSH_6mm",""
"U1","1","LM393","","","","Package_DIP:DIP-8_W7.62mm","http://www.ti.com/lit/ds/symlink/lm393.pdf"
"U2","1","L7805","","","","Package_TO_SOT_THT:TO-220-3_Vertical","http://www.st.com/content/ccc/resource/technical/document/datasheet/41/4f/b3/b0/12/d4/47/88/CD00000444.pdf/files/CD00000444.pdf/jcr:content/translations/en.CD00000444.pdf"
"U4","1","ATmega328-P","","","","Package_DIP:DIP-28_W7.62mm","http://ww1.microchip.com/downloads/en/DeviceDoc/ATmega328_P%20AVR%20MCU%20with%20picoPower%20Technology%20Data%20Sheet%2040001984A.pdf"
"Y1","1","16MHz","","","","Crystal:Crystal_HC49-4H_Vertical",""
