Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C9",C_Disc_D5.0mm_W2.5mm_P5.00mm,2,0.1uF,
"C10, C8",C_Disc_D5.0mm_W2.5mm_P5.00mm,2,22pF,
C2,C_Disc_D5.0mm_W2.5mm_P5.00mm,1,100nF,
"C3, C6",C_Disc_D5.0mm_W2.5mm_P5.00mm,2,1uF,
C4,C_Disc_D5.0mm_W2.5mm_P5.00mm,1,100pF,
C5,CP_Radial_D5.0mm_P2.00mm,1,4.7uF,
C7,C_Disc_D5.0mm_W2.5mm_P5.00mm,1,0.33uF,
DS1,WC1602A,1,WC1602A,
J1,Jack_3.5mm_PJ320E_Horizontal,1,AudioJack2,
J2,PinHeader_1x04_P2.54mm_Vertical,1,Conn_01x04_Socket,
"J3, J4",PinHeader_1x10_P2.54mm_Vertical,2,Conn_01x10_Pin,
J5,BarrelJack_Horizontal,1,Jack-DC,
J6,PinHeader_2x03_P2.54mm_Vertical,1,ICSP,
L1,LED_D3.0mm,1,Yellow,
PWR1,LED_D3.0mm,1,Green,
"R1, R3, R5, R6, R8",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,5,10k,
R10,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,100k,
"R2, R4, R7, R9",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,4,1k,
SW1,SW_PUSH_6mm,1,REV,
SW2,SW_PUSH_6mm,1,FWD,
SW3,SW_PUSH_6mm,1,RESET,
U1,DIP-8_W7.62mm,1,LM393,
U2,DIP-28_W7.62mm,1,ATmega328-P,
U3,TO-220-3_Vertical,1,L7805,
Y1,Crystal_HC49-4H_Vertical,1,16MHz,
