Designator,Mid X,Mid Y,Rotation,Layer
C1,130.5,-102.0,0.0,top
C10,113.0,-118.5,270.0,top
C2,98.0,-102.0,180.0,top
C3,106.0,-102.0,0.0,top
C4,132.0,-117.0,0.0,top
C5,86.0,-118.0,270.0,top
C6,92.0,-118.5,270.0,top
C7,151.0,-91.0,270.0,top
C8,97.0,-118.5,270.0,top
C9,151.0,-83.0,90.0,top
DS1,97.00045,-81.14285,0.0,top
J1,156.2175,-71.0,0.0,top
J2,54.0,-93.81,180.0,top
J5,142.65,-72.125,270.0,top
J6,74.27,-106.46,0.0,top
L1,145.73,-90.0,0.0,top
PWR1,140.73,-90.0,0.0,top
R1,145.0,-103.0,270.0,top
R10,157.0,-103.0,270.0,top
R2,148.0,-103.0,90.0,top
R3,74.0,-117.0,0.0,top
R4,157.0,-86.0,270.0,top
R5,151.0,-103.0,270.0,top
R6,144.0,-117.0,0.0,top
R7,122.0,-109.0,270.0,top
R8,54.0,-112.0,90.0,top
R9,154.0,-103.0,90.0,top
SW1,62.0,-117.0,0.0,top
SW2,155.75,-117.25,0.0,top
SW3,62.0,-106.0,0.0,top
U1,132.0,-108.995,90.0,top
U2,99.43,-109.19,90.0,top
U3,143.46,-83.0,0.0,top
Y1,105.0,-119.0,0.0,top
